Sample_Index,Repetition,3D_Positioning_Error
0,5,7.11236
1,5,7.11236
2,5,7.11236
3,5,7.11236
4,5,7.11236
5,5,7.11236
6,5,7.11236
7,5,7.11236
8,5,7.11236
9,5,7.11236
10,5,7.11236
11,5,7.11236
12,5,7.11236
13,5,7.11236
14,5,7.11236
15,5,7.11236
16,5,7.11236
17,5,7.11236
18,5,7.11236
19,5,7.11236
20,5,7.11236
21,5,7.11236
22,5,7.11236
23,5,7.11236
24,5,7.11236
25,5,7.11236
26,5,7.11236
27,5,7.11236
28,5,7.11236
29,5,7.11236
30,5,7.11236
31,5,7.11236
32,5,7.11236
33,5,7.11236
34,5,7.11236
35,5,7.11236
36,5,7.11236
37,5,7.11236
38,5,7.11236
39,5,7.11236
40,5,7.11236
41,5,7.11236
42,5,7.11236
43,5,7.11236
44,5,7.11236
45,5,7.11236
46,5,7.11236
47,5,7.11236
48,5,7.11236
49,5,7.11236
50,5,7.11236
51,5,7.11236
52,5,7.11236
53,5,7.11236
54,5,7.11236
55,5,7.11236
56,5,7.11236
57,5,7.11236
58,5,7.11236
59,5,7.11236
60,5,7.11236
61,5,7.11236
62,5,7.11236
63,5,7.11236
64,5,7.11236
65,5,7.11236
66,5,7.11236
67,5,7.11236
68,5,7.11236
69,5,7.11236
70,5,7.11236
71,5,7.11236
72,5,7.11236
73,5,7.11236
74,5,7.11236
75,5,7.11236
76,5,7.11236
77,5,7.11236
78,5,7.11236
79,5,7.11236
80,5,7.11236
81,5,7.11236
82,5,7.11236
83,5,7.11236
84,5,7.11236
85,5,7.11236
86,5,7.11236
87,5,7.11236
88,5,7.11236
89,5,7.11236
90,5,7.11236
91,5,7.11236
92,5,7.11236
93,5,7.11236
94,5,7.11236
95,5,7.11236
96,5,7.11236
97,5,7.11236
98,5,7.11236
99,5,7.11236
100,5,7.11236
101,5,7.11236
102,5,7.11236
103,5,7.11236
104,5,7.11236
105,5,7.11236
106,5,7.11236
107,5,7.11236
108,5,7.11236
109,5,7.11236
110,5,7.11236
111,5,7.11236
112,5,7.11236
113,5,7.11236
114,5,7.11236
115,5,7.11236
116,5,7.11236
117,5,7.11236
118,5,7.11236
119,5,7.11236
120,5,7.11236
121,5,7.11236
122,5,7.11236
123,5,7.11236
124,5,7.11236
125,5,7.11236
126,5,7.11236
127,5,7.11236
128,5,7.11236
129,5,7.11236
130,5,7.11236
131,5,7.11236
132,5,7.11236
133,5,7.11236
134,5,7.11236
135,5,7.11236
136,5,7.11236
137,5,7.11236
138,5,7.11236
139,5,7.11236
140,5,7.11236
141,5,7.11236
142,5,7.11236
143,5,7.11236
144,5,7.11236
145,5,7.11236
146,5,7.11236
147,5,7.11236
148,5,7.11236
149,5,7.11236
150,5,7.11236
151,5,7.11236
152,5,7.11236
153,5,7.11236
154,5,7.11236
155,5,7.11236
156,5,7.11236
157,5,7.11236
158,5,7.11236
159,5,7.11236
160,5,7.11236
161,5,7.11236
162,5,7.11236
163,5,7.11236
164,5,7.11236
165,5,7.11236
166,5,7.11236
167,5,7.11236
168,5,7.11236
169,5,7.11236
170,5,7.11236
171,5,7.11236
172,5,7.11236
173,5,7.11236
174,5,7.11236
175,5,7.11236
176,5,7.11236
177,5,7.11236
178,5,7.11236
179,5,7.11236
180,5,7.11236
181,5,7.11236
182,5,7.11236
183,5,7.11236
184,5,7.11236
185,5,7.11236
186,5,7.11236
187,5,7.11236
188,5,7.11236
189,5,7.11236
190,5,7.11236
191,5,7.11236
192,5,7.11236
193,5,7.11236
194,5,7.11236
195,5,7.11236
196,5,7.11236
197,5,7.11236
198,5,7.11236
199,5,7.11236
200,5,7.11236
201,5,7.11236
202,5,7.11236
203,5,7.11236
204,5,7.11236
205,5,7.11236
206,5,7.11236
207,5,7.11236
208,5,7.11236
209,5,7.11236
210,5,7.11236
211,5,7.11236
212,5,7.11236
213,5,7.11236
214,5,7.11236
215,5,7.11236
216,5,7.11236
217,5,7.11236
218,5,7.11236
219,5,7.11236
220,5,7.11236
221,5,7.11236
222,5,7.11236
223,5,7.11236
224,5,7.11236
225,5,7.11236
226,5,7.11236
227,5,7.11236
228,5,7.11236
229,5,7.11236
230,5,7.11236
231,5,7.11236
232,5,7.11236
233,5,7.11236
234,5,7.11236
235,5,7.11236
236,5,7.11236
237,5,7.11236
238,5,7.11236
239,5,7.11236
240,5,7.11236
241,5,7.11236
242,5,7.11236
243,5,7.11236
244,5,7.11236
245,5,7.11236
246,5,7.11236
247,5,7.11236
248,5,7.11236
249,5,7.11236
250,5,7.11236
251,5,7.11236
252,5,7.11236
253,5,7.11236
254,5,7.11236
255,5,7.11236
256,5,7.11236
257,5,7.11236
258,5,7.11236
259,5,7.11236
260,5,7.11236
261,5,7.11236
262,5,7.11236
263,5,7.11236
264,5,7.11236
265,5,7.11236
266,5,7.11236
267,5,7.11236
268,5,7.11236
269,5,7.11236
270,5,7.11236
271,5,7.11236
272,5,7.11236
273,5,7.11236
274,5,7.11236
275,5,7.11236
276,5,7.11236
277,5,7.11236
278,5,7.11236
279,5,7.11236
280,5,7.11236
281,5,7.11236
282,5,7.11236
283,5,7.11236
284,5,7.11236
285,5,7.11236
286,5,7.11236
287,5,7.11236
288,5,7.11236
289,5,7.11236
290,5,7.11236
291,5,7.11236
292,5,7.11236
293,5,7.11236
294,5,7.11236
295,5,7.11236
296,5,7.11236
297,5,7.11236
298,5,7.11236
299,5,7.11236
300,5,7.11236
301,5,7.11236
302,5,7.11236
303,5,7.11236
304,5,7.11236
305,5,7.11236
306,5,7.11236
307,5,7.11236
308,5,7.11236
309,5,7.11236
310,5,7.11236
311,5,7.11236
312,5,7.11236
313,5,7.11236
314,5,7.11236
315,5,7.11236
316,5,7.11236
317,5,7.11236
318,5,7.11236
319,5,7.11236
320,5,7.11236
321,5,7.11236
322,5,7.11236
323,5,7.11236
324,5,7.11236
325,5,7.11236
326,5,7.11236
327,5,7.11236
328,5,7.11236
329,5,7.11236
330,5,7.11236
331,5,7.11236
332,5,7.11236
333,5,7.11236
334,5,7.11236
335,5,7.11236
336,5,7.11236
337,5,7.11236
338,5,7.11236
339,5,7.11236
340,5,7.11236
341,5,7.11236
342,5,7.11236
343,5,7.11236
344,5,7.11236
345,5,7.11236
346,5,7.11236
347,5,7.11236
