Sample_Index,Repetition,3D_Positioning_Error
0,1,12.03034
1,1,12.03034
2,1,12.03034
3,1,12.03034
4,1,12.03034
5,1,12.03034
6,1,12.03034
7,1,12.03034
8,1,12.03034
9,1,12.03034
10,1,12.03034
11,1,12.03034
12,1,12.03034
13,1,12.03034
14,1,12.03034
15,1,12.03034
16,1,12.03034
17,1,12.03034
18,1,12.03034
19,1,12.03034
20,1,12.03034
21,1,12.03034
22,1,12.03034
23,1,12.03034
24,1,12.03034
25,1,12.03034
26,1,12.03034
27,1,12.03034
28,1,12.03034
29,1,12.03034
30,1,12.03034
31,1,12.03034
32,1,12.03034
33,1,12.03034
34,1,12.03034
35,1,12.03034
36,1,12.03034
37,1,12.03034
38,1,12.03034
39,1,12.03034
40,1,12.03034
41,1,12.03034
42,1,12.03034
43,1,12.03034
44,1,12.03034
45,1,12.03034
46,1,12.03034
47,1,12.03034
48,1,12.03034
49,1,12.03034
50,1,12.03034
51,1,12.03034
52,1,12.03034
53,1,12.03034
54,1,12.03034
55,1,12.03034
56,1,12.03034
57,1,12.03034
58,1,12.03034
59,1,12.03034
60,1,12.03034
61,1,12.03034
62,1,12.03034
63,1,12.03034
64,1,12.03034
65,1,12.03034
66,1,12.03034
67,1,12.03034
68,1,12.03034
69,1,12.03034
70,1,12.03034
71,1,12.03034
72,1,12.03034
73,1,12.03034
74,1,12.03034
75,1,12.03034
76,1,12.03034
77,1,12.03034
78,1,12.03034
79,1,12.03034
80,1,12.03034
81,1,12.03034
82,1,12.03034
83,1,12.03034
84,1,12.03034
85,1,12.03034
86,1,12.03034
87,1,12.03034
88,1,12.03034
89,1,12.03034
90,1,12.03034
91,1,12.03034
92,1,12.03034
93,1,12.03034
94,1,12.03034
95,1,12.03034
96,1,12.03034
97,1,12.03034
98,1,12.03034
99,1,12.03034
100,1,12.03034
101,1,12.03034
102,1,12.03034
103,1,12.03034
104,1,12.03034
105,1,12.03034
106,1,12.03034
107,1,12.03034
108,1,12.03034
109,1,12.03034
110,1,12.03034
111,1,12.03034
112,1,12.03034
113,1,12.03034
114,1,12.03034
115,1,12.03034
116,1,12.03034
117,1,12.03034
118,1,12.03034
119,1,12.03034
120,1,12.03034
121,1,12.03034
122,1,12.03034
123,1,12.03034
124,1,12.03034
125,1,12.03034
126,1,12.03034
127,1,12.03034
128,1,12.03034
129,1,12.03034
130,1,12.03034
131,1,12.03034
132,1,12.03034
133,1,12.03034
134,1,12.03034
135,1,12.03034
136,1,12.03034
137,1,12.03034
138,1,12.03034
139,1,12.03034
140,1,12.03034
141,1,12.03034
142,1,12.03034
143,1,12.03034
144,1,12.03034
145,1,12.03034
146,1,12.03034
147,1,12.03034
148,1,12.03034
149,1,12.03034
150,1,12.03034
151,1,12.03034
152,1,12.03034
