Sample_Index,Repetition,3D_Positioning_Error
0,2,7.55025
1,2,7.55025
2,2,7.55025
3,2,7.55025
4,2,7.55025
5,2,7.55025
6,2,7.55025
7,2,7.55025
8,2,7.55025
9,2,7.55025
10,2,7.55025
11,2,7.55025
12,2,7.55025
13,2,7.55025
14,2,7.55025
15,2,7.55025
16,2,7.55025
17,2,7.55025
18,2,7.55025
19,2,7.55025
20,2,7.55025
21,2,7.55025
22,2,7.55025
23,2,7.55025
24,2,7.55025
25,2,7.55025
26,2,7.55025
27,2,7.55025
28,2,7.55025
29,2,7.55025
30,2,7.55025
31,2,7.55025
32,2,7.55025
33,2,7.55025
34,2,7.55025
35,2,7.55025
36,2,7.55025
37,2,7.55025
38,2,7.55025
39,2,7.55025
40,2,7.55025
41,2,7.55025
42,2,7.55025
43,2,7.55025
44,2,7.55025
45,2,7.55025
46,2,7.55025
47,2,7.55025
48,2,7.55025
49,2,7.55025
50,2,7.55025
51,2,7.55025
52,2,7.55025
53,2,7.55025
54,2,7.55025
55,2,7.55025
56,2,7.55025
57,2,7.55025
58,2,7.55025
59,2,7.55025
60,2,7.55025
61,2,7.55025
62,2,7.55025
63,2,7.55025
64,2,7.55025
65,2,7.55025
66,2,7.55025
67,2,7.55025
68,2,7.55025
69,2,7.55025
70,2,7.55025
71,2,7.55025
72,2,7.55025
73,2,7.55025
74,2,7.55025
75,2,7.55025
76,2,7.55025
77,2,7.55025
78,2,7.55025
79,2,7.55025
80,2,7.55025
81,2,7.55025
82,2,7.55025
83,2,7.55025
84,2,7.55025
85,2,7.55025
86,2,7.55025
87,2,7.55025
88,2,7.55025
89,2,7.55025
90,2,7.55025
91,2,7.55025
92,2,7.55025
93,2,7.55025
94,2,7.55025
95,2,7.55025
96,2,7.55025
97,2,7.55025
98,2,7.55025
99,2,7.55025
100,2,7.55025
101,2,7.55025
102,2,7.55025
103,2,7.55025
104,2,7.55025
105,2,7.55025
106,2,7.55025
107,2,7.55025
108,2,7.55025
109,2,7.55025
110,2,7.55025
111,2,7.55025
112,2,7.55025
113,2,7.55025
114,2,7.55025
115,2,7.55025
116,2,7.55025
117,2,7.55025
118,2,7.55025
119,2,7.55025
120,2,7.55025
121,2,7.55025
122,2,7.55025
123,2,7.55025
124,2,7.55025
125,2,7.55025
126,2,7.55025
127,2,7.55025
128,2,7.55025
129,2,7.55025
130,2,7.55025
131,2,7.55025
132,2,7.55025
133,2,7.55025
134,2,7.55025
135,2,7.55025
136,2,7.55025
137,2,7.55025
138,2,7.55025
139,2,7.55025
140,2,7.55025
141,2,7.55025
142,2,7.55025
143,2,7.55025
144,2,7.55025
145,2,7.55025
146,2,7.55025
147,2,7.55025
148,2,7.55025
149,2,7.55025
150,2,7.55025
151,2,7.55025
152,2,7.55025
153,2,7.55025
154,2,7.55025
155,2,7.55025
156,2,7.55025
157,2,7.55025
158,2,7.55025
159,2,7.55025
160,2,7.55025
161,2,7.55025
162,2,7.55025
163,2,7.55025
164,2,7.55025
165,2,7.55025
166,2,7.55025
167,2,7.55025
168,2,7.55025
169,2,7.55025
170,2,7.55025
171,2,7.55025
172,2,7.55025
173,2,7.55025
174,2,7.55025
175,2,7.55025
176,2,7.55025
177,2,7.55025
178,2,7.55025
179,2,7.55025
180,2,7.55025
181,2,7.55025
182,2,7.55025
183,2,7.55025
184,2,7.55025
185,2,7.55025
186,2,7.55025
187,2,7.55025
188,2,7.55025
189,2,7.55025
190,2,7.55025
191,2,7.55025
192,2,7.55025
193,2,7.55025
194,2,7.55025
195,2,7.55025
196,2,7.55025
197,2,7.55025
198,2,7.55025
199,2,7.55025
200,2,7.55025
201,2,7.55025
202,2,7.55025
203,2,7.55025
204,2,7.55025
205,2,7.55025
206,2,7.55025
207,2,7.55025
208,2,7.55025
209,2,7.55025
210,2,7.55025
211,2,7.55025
212,2,7.55025
213,2,7.55025
214,2,7.55025
215,2,7.55025
216,2,7.55025
217,2,7.55025
218,2,7.55025
219,2,7.55025
220,2,7.55025
221,2,7.55025
222,2,7.55025
223,2,7.55025
224,2,7.55025
225,2,7.55025
226,2,7.55025
227,2,7.55025
228,2,7.55025
229,2,7.55025
230,2,7.55025
231,2,7.55025
232,2,7.55025
233,2,7.55025
234,2,7.55025
235,2,7.55025
236,2,7.55025
237,2,7.55025
238,2,7.55025
239,2,7.55025
240,2,7.55025
241,2,7.55025
242,2,7.55025
243,2,7.55025
244,2,7.55025
245,2,7.55025
246,2,7.55025
247,2,7.55025
248,2,7.55025
249,2,7.55025
250,2,7.55025
251,2,7.55025
252,2,7.55025
253,2,7.55025
254,2,7.55025
255,2,7.55025
256,2,7.55025
257,2,7.55025
258,2,7.55025
259,2,7.55025
260,2,7.55025
261,2,7.55025
262,2,7.55025
263,2,7.55025
264,2,7.55025
265,2,7.55025
266,2,7.55025
267,2,7.55025
268,2,7.55025
269,2,7.55025
270,2,7.55025
271,2,7.55025
272,2,7.55025
273,2,7.55025
274,2,7.55025
275,2,7.55025
276,2,7.55025
277,2,7.55025
278,2,7.55025
279,2,7.55025
280,2,7.55025
281,2,7.55025
282,2,7.55025
283,2,7.55025
284,2,7.55025
285,2,7.55025
286,2,7.55025
287,2,7.55025
288,2,7.55025
289,2,7.55025
290,2,7.55025
291,2,7.55025
292,2,7.55025
293,2,7.55025
294,2,7.55025
295,2,7.55025
296,2,7.55025
297,2,7.55025
298,2,7.55025
299,2,7.55025
300,2,7.55025
301,2,7.55025
302,2,7.55025
303,2,7.55025
304,2,7.55025
305,2,7.55025
306,2,7.55025
307,2,7.55025
308,2,7.55025
309,2,7.55025
310,2,7.55025
311,2,7.55025
312,2,7.55025
313,2,7.55025
314,2,7.55025
315,2,7.55025
316,2,7.55025
317,2,7.55025
318,2,7.55025
319,2,7.55025
320,2,7.55025
321,2,7.55025
322,2,7.55025
323,2,7.55025
324,2,7.55025
325,2,7.55025
326,2,7.55025
327,2,7.55025
328,2,7.55025
329,2,7.55025
330,2,7.55025
331,2,7.55025
332,2,7.55025
333,2,7.55025
334,2,7.55025
335,2,7.55025
336,2,7.55025
337,2,7.55025
338,2,7.55025
339,2,7.55025
340,2,7.55025
341,2,7.55025
342,2,7.55025
343,2,7.55025
344,2,7.55025
345,2,7.55025
346,2,7.55025
347,2,7.55025
